"url","route","x","y"
"31eeff13-1864-4740-be7b-2af847c6e5d6","","1.2165164","3.958518"
"43b9c82c-e0a7-4fbd-8ad6-a54c71d1ce26","D3D2.0","0.41519442","3.082648"
"9871984a-4359-4046-922b-01fb3bee4dd0","D3D2.0","2.2702882","4.0200176"
"bb247262-65f2-47f1-8243-c15533b0403d","","0.8702747","3.5591474"
"5bed834c-be98-4db0-9ce5-e1321648f0cc","D3D2","5.9617763","3.340837"
"b65bcfff-ecf0-4f21-b770-2859cf7d863b","","6.6937823","3.1606617"
"112db87d-8114-4254-be0e-07268abb90f4","","8.099047","7.312115"
"2f728892-0ba6-444f-8ce1-5db62c26923d","","'-0.13423175","12.837076"
"f7d39835-05f3-4fcb-b619-8629e1235386","D2D1.0","1.0271356","3.749104"
"6465bb27-1ccd-4bb1-962a-8bf0173c0651","D3D2.0","0.45751074","3.1352754"
"6cd05577-efcc-4984-82df-fc38b777a932","D1D2","6.528436","3.1890008"
"52bb8b3a-79de-4356-9094-73bb4f391033","","5.234384","7.847374"
"df7f121e-eb1f-4874-a7c0-bc0ae49ca06f","D5-D1","4.570936","3.6093516"
"767d072f-9cea-450c-a89a-a307b0719fa1","","5.234384","7.847374"
"3f613f6a-8467-4fea-b436-7a948010e0ca","","3.2","5.0"
"a40a8bb8-4ed2-46fd-889b-e762761ba1d8","","6.2335567","3.2782855"
"ce8e5c5d-80fb-48ad-bfa2-b7d78d3fead2","D1D2","6.46504","3.203383"
"1a9c4466-fdbe-45f5-bd5a-555b8cbc5077","","4.92","5.1"
"6ce1259c-2290-478c-99c0-159703f048d4","D2D1.0","6.319065","3.247001"
"1b35f1cb-3c27-4211-88ed-302fc00ab85a","","5.829758","3.364726"
"8cfce2b4-dc45-404c-bfd0-db841e511ed5","D2D2","10.625669","7.119925"
"3b3871c2-ce0f-41cf-bc08-b1ca000ffa9d","","8.184866","2.5076272"
"2f977e54-d27b-4450-9439-5e8d68491ea6","","6.7714624","4.0892625"
